,0,1,2,3
52,-23.586845,-8.0891835,31.5688406,2.374189
53,-22.4394488,-11.1708868,29.2791801,2.4712851
54,-20.7458921,-12.5286614,27.6031786,2.5899609
55,-18.8901664,-12.7633518,26.0973202,2.7161754
56,-17.1154192,-12.2934255,24.5597575,2.8409145
57,-15.5685973,-11.4198432,22.9364776,2.9587205
58,-14.3224624,-10.3588701,21.2490716,3.066702
59,-13.3959318,-9.258639,19.5470395,3.1637778
60,-12.7742983,-8.2118067,17.8811846,3.25006
61,-12.4262222,-7.2684858,16.2920232,3.3263633
62,-12.3156041,-6.4489761,14.8070158,3.3938446
63,-12.4084909,-5.7547832,13.4419484,3.4537613
64,-12.6762656,-5.1770387,12.2036597,3.5073284
65,-13.0965287,-4.7022751,11.0927656,3.5556451
66,-13.6527752,-4.3160061,10.105895,3.5996687
67,-14.3335764,-4.0047162,9.2373642,3.6402151
68,-15.1316566,-3.7568122,8.4803771,3.6779744
69,-16.0430468,-3.5629573,7.8278694,3.7135318
70,-17.0663784,-3.4160834,7.2731103,3.7473906
71,-18.2023178,-3.3112668,6.8101472,3.7799942
72,-19.4531184,-3.245585,6.4341665,3.811747
73,-20.8222547,-3.218024,6.1418276,3.8430336
74,-22.314102,-3.2294846,5.9316228,3.8742381
75,-23.933618,-3.2829273,5.8043223,3.9057638
76,-25.6859796,-3.3837042,5.7635716,3.9380548
77,-27.5761036,-3.5401423,5.8167359,3.9716235
78,-29.607952,-3.7644796,5.976125,4.0070837
79,-31.7834518,-4.0743065,6.260793,4.0451973
80,-34.1007386,-4.494741,6.6992033,4.0869371
81,-36.5512024,-5.0616736,7.3331742,4.1335779
82,-39.114377,-5.8265168,8.2236687,4.1868264
83,-41.7488856,-6.8629142,9.4590576,4.2490077
84,-44.3761123,-8.2754343,11.1661304,4.3233304
85,-46.8505981,-10.2083914,13.5222759,4.4142417
86,-48.9074823,-12.8467911,16.7609576,4.5278428
87,-50.0764839,-16.3846599,21.1450597,4.6721846
88,-49.5727698,-20.9004048,26.84438,4.856851
89,-46.2728246,-26.0437279,33.6117935,5.090424
90,-39.1064563,-30.5640566,40.2681485,5.3738176
91,-28.1876662,-32.3047538,44.6062831,5.6903551
92,-15.7634675,-29.6583414,44.7593812,6.002797
93,-4.9642095,-23.3732296,41.0477309,6.2689812
94,2.5893923,-15.9023463,35.5203518,6.4643301
95,7.1712922,-9.2713915,30.0043248,6.5880183
96,9.772358,-4.2610979,25.3096311,6.653268
97,11.2628442,-0.8248422,21.5542363,6.6764962
98,12.2030823,1.3807417,18.5968286,6.6718318
99,12.911118,2.7196228,16.2557626,6.6497269
100,13.5574604,3.4848742,14.3794308,6.6173139
101,14.2308665,3.8876718,12.8562915,6.5792091
102,14.9766814,4.0717479,11.6076965,6.5382691
103,15.8178251,4.1317323,10.5786856,6.4961734
104,16.7659912,4.1286897,9.730691,6.4538345
105,17.8275266,4.1016712,9.0365119,6.4116725
106,19.0064484,4.0758112,8.4770644,6.3697922
107,20.3059147,4.0678525,8.0393777,6.328093
108,21.7288455,4.0898983,7.7154494,6.2863325
109,23.2780461,4.1520197,7.5017227,6.2441596
110,24.9559965,4.2641832,7.3990611,6.2011241
111,26.7643426,4.4378529,7.4131846,6.1566701
112,28.703034,4.687549,7.555607,6.1101133
113,30.7689433,5.0326158,7.8451855,6.0606016
114,32.9536561,5.4994476,8.3104644,6.0070562
115,35.2398718,6.1244209,8.9930552,5.9480875
116,37.5954387,6.9577252,9.9522896,5.8818765
117,39.9633295,8.068,11.271138,5.8060141
118,42.2447451,9.5467498,13.0624678,5.7172934
119,44.2711269,11.5088901,15.4720076,5.611472
120,45.760556,14.0793561,18.667607,5.4830859
121,46.2604898,17.3426443,22.790251,5.3255551
122,45.1081659,21.2153956,27.8230247,5.1321437
123,41.5162785,25.2170821,33.3449172,4.898718
124,34.9733113,28.265262,38.2855859,4.6289109
125,25.9457636,28.9296421,41.1192165,4.3394742
126,16.1506027,26.4273873,40.8247798,4.0591772
127,7.6113694,21.4417524,37.7584608,3.817425
128,1.3844383,15.5853349,33.2492473,3.6312329
129,-2.6242282,10.228133,28.535877,3.5019416
130,-5.0306016,5.9961453,24.2762709,3.4208425
131,-6.4518372,2.9482939,20.6637168,3.3760536
132,-7.3302304,0.8887191,17.6697854,3.3565984
133,-7.9402065,-0.4340909,15.1979827,3.3538502
134,-8.4400868,-1.2424909,13.1487384,3.3615915
135,-8.9175595,-1.7071355,11.4387409,3.3755754
136,-9.4200178,-1.9498403,10.0028098,3.3930105
137,-9.9727995,-2.0538797,8.7908061,3.4121217
138,-10.5896233,-2.0745634,7.7640066,3.4318186
139,-11.2783917,-2.0478607,6.8921457,3.451461
140,-12.0443519,-1.9967793,6.1512469,3.470699
141,-12.8917843,-1.9358457,5.5220921,3.489367
142,-13.8248844,-1.8741565,4.9891487,3.5074158
143,-14.848211,-1.8174187,4.5398185,3.5248686
144,-15.9669056,-1.7693015,4.1639112,3.5417945
145,-17.1867938,-1.7323347,3.8532821,3.5582931
146,-18.5144271,-1.7085183,3.6015963,3.5744861
147,-19.9570947,-1.6997597,3.4041989,3.5905145
148,-21.5228176,-1.708223,3.2580881,3.6065394
149,-23.2203279,-1.736655,3.1619973,3.6227461
150,-25.0590263,-1.7887487,3.1166146,3.6393518
151,-27.0489042,-1.8696088,3.1249838,3.6566172
152,-29.2004016,-1.9864054,3.1931714,3.6748637
153,-31.5241508,-2.1493411,3.331333,3.6944987
154,-34.0305135,-2.3731317,3.5554051,3.7160525
155,-36.7287351,-2.6793252,3.8898006,3.7402344
156,-39.6253693,-3.1000071,4.3717421,3.7680179
157,-42.7212669,-3.6838124,5.0583131,3.8007737
158,-46.0056272,-4.5057835,6.0380354,3.8404805
159,-49.4438124,-5.6835307,7.4499017,3.8900629
160,-52.9514575,-7.4030843,9.5140576,3.9539372
161,-56.3377845,-9.9567803,12.577793,4.0388754
162,-59.1803953,-13.7834865,17.1689713,4.1552819
163,-60.5617971,-19.4452016,23.9920369,4.3186621
164,-58.6252126,-27.2858586,33.606267,4.5496225
165,-50.3965337,-36.1975067,45.1757072,4.8664937
166,-33.8510237,-41.7596989,54.4604909,5.26073
167,-12.8213371,-38.4228367,55.690799,5.6686144
168,4.5320276,-27.1412603,49.1078006,5.9992486
169,14.7352237,-14.3962116,40.400231,6.2048041
170,19.594825,-4.3704044,33.3496411,6.2947691
171,21.5834425,2.3182179,28.5843556,6.3014484
172,22.1890397,6.415153,25.5444489,6.2549515
173,22.14309,8.7690093,23.5826111,6.1768411
174,21.8003578,10.0117696,22.23307,6.0811894
175,21.3450897,10.5613921,21.2073426,5.9768608
176,20.881609,10.6849085,20.3411793,5.8693479
177,20.4725983,10.5528901,19.5485636,5.7619939
178,20.1561359,10.2757831,18.7900782,5.6567614
179,19.9543046,9.9261805,18.0527335,5.5547123
180,19.8783246,9.5521999,17.3375793,5.4563143
181,19.932048,9.1856762,16.6523444,5.3616405
182,20.1144839,8.8474153,16.0072578,5.2705046
183,20.4216109,8.550752,15.4128471,5.1825522
184,20.8476152,8.3040772,14.8789393,5.097322
185,21.3856525,8.1126855,14.4143671,5.0142857
186,22.0282273,7.9801437,14.0270744,4.9328716
187,22.7672618,7.9093074,13.7244315,4.8524767
188,23.5939109,7.903075,13.5136513,4.7724697
189,24.4981552,7.9649432,13.4022395,4.6921879
190,25.4681804,8.0994085,13.3984373,4.6109286
191,26.4895305,8.3122317,13.5116146,4.5279382
192,27.5440071,8.6105529,13.7525614,4.4423987
193,28.6082772,9.0027948,14.1335845,4.3534139
194,29.6521681,9.4982325,14.6682552,4.2599985
195,30.6366785,10.1060117,15.3705565,4.1610743
196,31.5118656,10.833289,16.2530441,4.0554791
197,32.2150287,11.6820551,17.3235008,3.942002
198,32.6700705,12.644192,18.579504,3.8194575
199,32.7895958,13.694582,20.0005557,3.68682
200,32.4820309,14.7829832,21.5383037,3.543434
201,31.666198,15.827202,23.1072771,3.3893023
202,30.294112,16.7126092,24.5813426,3.2254159
203,28.3780239,17.3045234,25.8030864,3.0540298
204,26.0107268,17.4770233,26.6110154,2.8787319
205,23.3642546,17.1521112,26.8801814,2.704162
206,20.6589081,16.3315499,26.5596028,2.5353582
207,18.1119723,15.1019808,25.6863701,2.3769067
208,15.8898768,13.6084476,24.3688003,2.2322035
209,14.0845833,12.0111317,22.7499562,2.1030822
210,12.7179164,10.4472536,20.9712671,1.9898647
211,11.7627734,9.0112845,19.1495241,1.891706
212,11.1672547,7.7533385,17.3690656,1.8070425
213,10.8732296,6.6883171,15.6841035,1.7339951
214,10.8272379,5.8081785,14.1253052,1.6706603
215,10.9851993,5.0927429,12.706797,1.6152836
216,11.3133018,4.5173913,11.431932,1.5663398
217,11.7870152,4.0577461,10.29749,1.5225513
218,12.3894548,3.6920786,9.2965357,1.4828725
219,13.1097267,3.402247,8.4202933,1.4464575
220,13.9415144,3.1738002,7.6593527,1.4126231
221,14.8819699,2.9956774,7.0044439,1.3808135
222,15.9308844,2.8597628,6.4469404,1.3505684
223,17.090084,2.7604416,5.9792012,1.3214957
224,18.3629908,2.6942315,5.5948274,1.2932485
225,19.7542984,2.6595258,5.28889,1.2655054
226,21.269717,2.6564677,5.058175,1.2379519
227,22.9157493,2.6869741,4.9014957,1.2102635
228,24.6994572,2.7549351,4.820129,1.1820871
229,26.6281733,2.8666358,4.818452,1.1530188
230,28.7090892,3.0314821,4.9048931,1.1225772
231,30.9486172,3.2631604,5.0933673,1.0901668
232,33.3513378,3.5814478,5.4054643,1.0550264
233,35.9182041,4.0150131,5.8738023,1.0161556
234,38.64337,4.605742,6.5471967,0.9722055
235,41.5084199,5.41537,7.4986012,0.9213163
236,44.4715634,6.5354407,8.8371201,0.8608714
237,47.4468969,8.1013962,10.7253145,0.787133
238,50.2640447,10.3094183,13.4009889,0.6947186
239,52.5905191,13.4255314,17.1934812,0.5759311
240,53.792915,17.7471213,22.4940845,0.4201792
241,52.7444649,23.4043581,29.5631937,0.2144443
242,47.7843159,29.80448,37.9596237,-0.0526284
243,37.521514,34.8165819,45.6518525,-0.3792545
244,22.946657,35.1689535,49.2640264,-0.7350594
245,8.2190334,29.5634546,47.0849734,-1.0638938
246,-2.79924,20.5743446,41.1094568,-1.3167255
247,-9.4348805,11.7607385,34.462349,-1.4782236
248,-12.9657738,4.9228464,28.8243091,-1.5607583
249,-14.759081,0.2526521,24.5098359,-1.5859543
250,-15.6987258,-2.6934329,21.2944401,-1.5735136
251,-16.2675148,-4.4377307,18.874954,-1.5380284
252,-16.71371,-5.4012793,17.0099987,-1.4893075
253,-17.1621368,-5.8822204,15.5343611,-1.4335718
254,-17.6744461,-6.0794085,14.3414035,-1.3745815
255,-18.2800663,-6.1212282,13.3638345,-1.3144831
256,-18.992021,-6.0889715,12.5595202,-1.2543916
257,-19.8150592,-6.0336002,11.9022545,-1.1947726
258,-20.7498056,-5.9871573,11.3761082,-1.1356844
