index,value
894,1.9226
895,2.0503
896,2.0837
897,2.0862
898,1.5724
899,0.94808
900,0.61878
901,0.4745
902,0.42183
903,0.5115
904,1.1382
905,1.7335
906,1.7865
907,1.6572
908,1.6179
909,1.8241
910,1.2453
911,0.82854
912,0.72307
913,0.75821
914,0.66512
915,0.83984
916,1.5032
917,1.8955
918,2.0414
919,2.0852
920,2.0909
921,1.668
922,1.0095
923,0.65011
924,0.48721
925,0.42637
926,0.4769
927,1.0341
928,1.6925
929,1.8014
930,1.6762
931,1.6022
932,1.8426
933,1.3243
934,0.85947
935,0.71936
936,0.75274
937,0.67881
938,0.77827
939,1.4242
940,1.8642
941,2.029
942,2.0837
943,2.0902
944,1.7626
945,1.0765
946,0.68166
947,0.50056
948,0.43088
949,0.45074
950,0.93208
951,1.6403
952,1.8064
953,1.692
954,1.5932
955,1.8346
956,1.4073
957,0.89973
958,0.72605
959,0.74966
960,0.69843
961,0.73035
962,1.3386
963,1.8302
964,2.0192
965,2.0854
966,2.0841
967,1.8507
968,1.1488
969,0.71508
970,0.51417
971,0.42797
972,0.42993
973,0.83482
974,1.5771
975,1.8076
976,1.6995
977,1.5787
978,1.7984
979,1.4899
980,0.94343
981,0.73566
982,0.7493
983,0.72667
984,0.70024
985,1.2529
986,1.7905
987,2.0031
988,2.0807
989,2.0888
990,1.9282
991,1.2245
992,0.75517
993,0.53383
994,0.44182
995,0.42193
996,0.75024
997,1.5056
998,1.8103
999,1.7278
1000,1.5989
1001,1.7638
1002,1.5743
1003,0.99128
1004,0.74427
1005,0.73433
1006,0.73303
1007,0.67069
1008,1.1618
1009,1.746
1010,1.9839
1011,2.0747
1012,2.084
1013,1.9939
1014,1.3068
1015,0.79819
1016,0.55301
1017,0.44872
1018,0.41679
1019,0.67277
1020,1.4223
1021,1.8032
1022,1.7447
1023,1.6104
1024,1.7176
1025,1.6553
1026,1.0474
1027,0.75519
1028,0.72967
1029,0.74636
1030,0.65695
1031,1.0716
1032,1.6945
1033,1.9653
1034,2.0689
1035,2.0798
1036,2.0413
1037,1.3938
1038,0.84535
1039,0.57375
1040,0.45705
1041,0.41661
1042,0.60736
1043,1.331
1044,1.7934
1045,1.7895
1046,1.6377
1047,1.6808
1048,1.7293
1049,1.1093
1050,0.76312
1051,0.70485
1052,0.74107
1053,0.64572
1054,0.98226
1055,1.6386
1056,1.9399
1057,2.0561
1058,2.0752
1059,2.0701
1060,1.4843
1061,0.89606
1062,0.59933
1063,0.46961
1064,0.42145
1065,0.55392
1066,1.2342
1067,1.7653
1068,1.7812
